unit_id,question_text,options,answer_index,explanation,image_url
1.正負の数の加減,"次の計算をしなさい。  
\( (0) - (7) + (-6) \)","[""-18"", ""-12"", ""-13"", ""-6""]",3,"左から順に計算するか、加法だけの式に直して計算します。  
\( (0) - (7) + (-6) = (0) + (-7) + (-6) = -13 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (2.4) + (-8.2) \)","[""-2.8"", ""-7.8"", ""-5.8"", ""-3.8""]",3,"小数の計算です。位をそろえて計算します。  
\( (2.4) + (-8.2) = -5.8 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (1.4) + (-6.4) \)","[""0.0"", ""-6.0"", ""-5.2"", ""-5.0""]",4,"小数の計算です。位をそろえて計算します。  
\( (1.4) + (-6.4) = -5.0 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (2.9) - (9.0) \)","[""-6.2"", ""23.9"", ""-6.1"", ""-9.1""]",3,"小数の計算です。位をそろえて計算します。  
\( (2.9) - (9.0) = -6.1 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (0.3) - (-7.2) \)","[""7.5"", ""7.2"", ""47.5"", ""-12.5""]",1,"小数の計算です。位をそろえて計算します。  
\( (0.3) - (-7.2) = 7.5 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-2.5) + (-1.6) \)","[""-3.8"", ""-6.1"", ""-4.4"", ""-4.1""]",4,"小数の計算です。位をそろえて計算します。  
\( (-2.5) + (-1.6) = -4.1 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-1.8) + (-9.0) \)","[""39.2"", ""-10.9"", ""-10.8"", ""-40.8""]",3,"小数の計算です。位をそろえて計算します。  
\( (-1.8) + (-9.0) = -10.8 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-3.6) - (-4.7) \)","[""1.1"", ""-2.9"", ""-38.9"", ""-3.9""]",1,"小数の計算です。位をそろえて計算します。  
\( (-3.6) - (-4.7) = 1.1 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (9.1) - (-7.5) \)","[""56.6"", ""66.6"", ""16.6"", ""17.0""]",3,"小数の計算です。位をそろえて計算します。  
\( (9.1) - (-7.5) = 16.6 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-7.1) - (-5.4) \)","[""-1.7"", ""1.3"", ""2.3"", ""48.3""]",1,"小数の計算です。位をそろえて計算します。  
\( (-7.1) - (-5.4) = -1.7 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-3.6) - (-4.6) \)","[""1.0"", ""2.0"", ""-4.0"", ""0.7""]",1,"小数の計算です。位をそろえて計算します。  
\( (-3.6) - (-4.6) = 1.0 \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (0) + (\frac{8}{9}) \)","[""\\frac{11}{9}"", ""\\frac{6}{9}"", ""\\frac{8}{9}"", ""\\frac{7}{9}""]",3,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( \frac{8}{9} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (\frac{8}{7}) + (1) \)","[""\\frac{17}{7}"", ""\\frac{16}{7}"", ""\\frac{15}{7}"", ""\\frac{13}{7}""]",3,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( \frac{15}{7} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{1}{7}) - (\frac{8}{7}) \)","[""-\\frac{6}{7}"", ""-\\frac{9}{7}"", ""-\\frac{11}{7}"", ""-\\frac{7}{7}""]",2,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{9}{7} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{8}{3}) + (-2) \)","[""-\\frac{14}{3}"", ""-\\frac{16}{3}"", ""-\\frac{15}{3}"", ""-\\frac{11}{3}""]",1,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{14}{3} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{10}{9}) - (\frac{7}{9}) \)","[""-\\frac{14}{9}"", ""-\\frac{18}{9}"", ""-\\frac{17}{9}"", ""-\\frac{15}{9}""]",3,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{17}{9} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{7}{3}) + (-\frac{4}{3}) \)","[""-\\frac{8}{3}"", ""-\\frac{12}{3}"", ""-\\frac{11}{3}"", ""-\\frac{10}{3}""]",3,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{11}{3} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{1}{8}) - (1) \)","[""-\\frac{9}{8}"", ""-\\frac{10}{8}"", ""-\\frac{11}{8}"", ""-\\frac{6}{8}""]",1,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{9}{8} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (\frac{3}{2}) - (\frac{1}{3}) \)","[""\\frac{7}{6}"", ""\\frac{9}{6}"", ""\\frac{5}{6}"", ""\\frac{10}{6}""]",1,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( \frac{7}{6} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{1}{2}) - (0) \)","[""-\\frac{1}{2}"", ""0"", ""-\\frac{3}{2}"", ""\\frac{1}{2}""]",1,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{1}{2} \) となります。",
1.正負の数の加減,"次の計算をしなさい。  
\( (-\frac{2}{3}) + (-\frac{2}{9}) \)","[""-\\frac{6}{9}"", ""-\\frac{5}{9}"", ""-\\frac{7}{9}"", ""-\\frac{8}{9}""]",4,"分数の計算です。分母をそろえて（通分して）分子どうしを計算します。最後は約分できる場合は約分します。  
結果は \( -\frac{8}{9} \) となります。",
